day;know_infected_all_ab;know_death_total;perc_infected_last7;perc_infected_next7;perc_severe
8;32590;1692;7,021650088;8,098303101;12,41816068
9;32686;1694;6,951433587;8,203627853;12,41497117
10;32783;1694;6,600351083;8,250438853;12,39435763
11;32894;1694;6,775892335;8,367466355;12,39837398
12;32964;1694;7,290813341;8,308952604;12,41744926
13;33010;1694;7,396138092;8,390871855;12,38756414
14;33130;1695;7,571679345;8,507899356;12,35492212
15;33258;1695;7,817437098;8,472791106;12,33147582
16;33378;1696;8,098303101;8,905792861;12,30737068
17;33484;1697;8,203627853;9,291983616;12,28310366
